192.168.70.25 - - [22/Nov/2017:10:16:22 +0000] "GET /wordpress/wp-admin/css/install.min.css?ver=4.9 HTTP/1.1" 200 2007 "http://www.arrabidabeercompany.pt/wordpress/wp-admin/setup-config.php?step=1&language=pt_PT" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
192.168.70.25 - - [22/Nov/2017:10:16:22 +0000] "GET /wordpress/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1 HTTP/1.1" 200 4014 "http://www.arrabidabeercompany.pt/wordpress/wp-admin/setup-config.php?step=1&language=pt_PT" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
192.168.70.25 - - [22/Nov/2017:10:16:22 +0000] "GET /wordpress/wp-admin/js/language-chooser.min.js?ver=4.9 HTTP/1.1" 200 240 "http://www.arrabidabeercompany.pt/wordpress/wp-admin/setup-config.php?step=1&language=pt_PT" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
192.168.70.25 - - [22/Nov/2017:10:16:22 +0000] "GET /wordpress/wp-includes/css/buttons.min.css?ver=4.9 HTTP/1.1" 200 1499 "http://www.arrabidabeercompany.pt/wordpress/wp-admin/setup-config.php?step=1&language=pt_PT" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
192.168.70.25 - - [22/Nov/2017:10:16:22 +0000] "GET /wordpress/wp-includes/js/jquery/jquery.js?ver=1.12.4 HTTP/1.1" 200 33766 "http://www.arrabidabeercompany.pt/wordpress/wp-admin/setup-config.php?step=1&language=pt_PT" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
192.168.70.25 - - [22/Nov/2017:10:16:22 +0000] "GET /wordpress/wp-admin/images/wordpress-logo.svg?ver=20131107 HTTP/1.1" 200 818 "http://www.arrabidabeercompany.pt/wordpress/wp-admin/css/install.min.css?ver=4.9" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
192.168.70.25 - - [22/Nov/2017:10:19:03 +0000] "POST /wordpress/wp-admin/setup-config.php?step=2 HTTP/1.1" 500 1578 "http://www.arrabidabeercompany.pt/wordpress/wp-admin/setup-config.php?step=1&language=pt_PT" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
192.168.70.25 - - [22/Nov/2017:10:23:43 +0000] "POST /wordpress/wp-admin/setup-config.php?step=2 HTTP/1.1" 200 2630 "http://www.arrabidabeercompany.pt/wordpress/wp-admin/setup-config.php?step=1&language=pt_PT" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
192.168.70.25 - - [22/Nov/2017:10:23:43 +0000] "GET /wordpress/wp-admin/css/install.min.css?ver=4.9 HTTP/1.1" 200 2007 "http://www.arrabidabeercompany.pt/wordpress/wp-admin/setup-config.php?step=2" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
192.168.70.25 - - [22/Nov/2017:10:23:43 +0000] "GET /wordpress/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1 HTTP/1.1" 200 4014 "http://www.arrabidabeercompany.pt/wordpress/wp-admin/setup-config.php?step=2" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
